#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-29786B2AF3A3EC6A-26FCD7F16D8A321C
#datatype	feats
#status	0
#Start time	2017-01-17T13:11:04	Run time	0:00:04:59
#status	success

Query	Type	Title	coordinates	complete size	mapped size	source domain
Q#179 - >Q5ZXT2_LEGPH	specific	metal binding site A	N17,E42,D253,H254	4	4	197320
Q#179 - >Q5ZXT2_LEGPH	specific	putative metal binding site B	Y112,D153,N155,H254	4	4	197320
Q#179 - >Q5ZXT2_LEGPH	specific	putative phosphate binding site	N15,E42,Y112,N115,D153,N155,H254	7	7	197320
Q#181 - >Q5ZXT0_LEGPH	specific	putative NAD(P) binding site	A196,G197,A198,A199,D221,T222,V262,A263,L267,L285,S286,N287,G309,V317,N319	15	15	133453
Q#182 - >Q5ZXS9_LEGPH	specific	putative substrate translocation pore	R31,P34,S35,V36,E38,N39,S56,Y59,Y60,Y63,Q67,L68,V70,G71,S117,A118,F121,V122,L125,K126,T129,S141,G142,S145,A146,A152,L234,T237,V238,E241,L242,I245,A259,N263,F267,F270,A274,G324,Y327,S328,Q330,F334,A335,R338,A349,M350,T353,N354,V357,M358,A361	51	51	119392
Q#183 - >Q5ZXS8_LEGPH	specific	putative substrate translocation pore	R35,P38,G39,A40,Q42,T43,S61,Y64,Y65,Y68,Q72,M73,V75,G76,S122,S123,F126,V127,L130,S131,L134,A146,G147,T150,T151,L157,Y236,L239,S240,G243,L245,K248,A262,V266,F270,W273,A277,L325,F329,S330,E333,F337,I338,K341,V352,F353,T356,N357,I360,S361,G364	51	51	119392
Q#187 - >Q5ZXS4_LEGPH	specific	ligand binding site	F135,S136,T169,D170,G173,H177,K178,L181,S223,R227	10	10	143586
Q#189 - >Q5ZXS2_LEGPH	generic	ATP binding site	G367,A368,K370,S371,T372,Q411,D487,E488,H520	9	9	213232
Q#189 - >Q5ZXS2_LEGPH	generic	ABC transporter signature motif	N459,S460,G461,G466,F467,K468,Q469,R470,L471,A472	10	10	213232
Q#189 - >Q5ZXS2_LEGPH	generic	Walker A/P-loop	G364,P365,N366,G367,A368,G369,K370,S371	8	8	213232
Q#189 - >Q5ZXS2_LEGPH	generic	Walker B	V483,L484,F485,L486,D487,E488	6	6	213232
Q#189 - >Q5ZXS2_LEGPH	generic	D-loop	S491,G492,V493,D494	4	4	213232
Q#189 - >Q5ZXS2_LEGPH	generic	Q-loop/lid	Y408,M409,A410,Q411	4	4	213232
Q#189 - >Q5ZXS2_LEGPH	generic	H-loop/switch region	M516,V517,T518,T519,H520,F521,M522	7	7	213232
Q#189 - >Q5ZXS2_LEGPH	specific	ATP binding site	G45,A46,K48,S49,T50,Q89,D165,E166,A198	9	9	213197
Q#189 - >Q5ZXS2_LEGPH	specific	ABC transporter signature motif	L105,S142,G143,G144,M145,K146,Q147,K148,L149,G150	10	10	213197
Q#189 - >Q5ZXS2_LEGPH	specific	Walker A/P-loop	G42,P43,D44,G45,A46,G47,K48,S49	8	8	213197
Q#189 - >Q5ZXS2_LEGPH	specific	Walker B	L161,L162,L163,L164,D165,E166	6	6	213197
Q#189 - >Q5ZXS2_LEGPH	specific	D-loop	V169,G170,V171,D172	4	4	213197
Q#189 - >Q5ZXS2_LEGPH	specific	Q-loop/lid	Y86,M87,P88,Q89	4	4	213197
Q#189 - >Q5ZXS2_LEGPH	specific	H-loop/switch region	V194,W195,S196,T197,A198,Y199,L200	7	7	213197
Q#193 - >Q5ZXR8_LEGPH	specific	N-acetyl-D-glucosamine binding site	E471,M491,Y525,Y544	4	4	238157
Q#193 - >Q5ZXR8_LEGPH	specific	catalytic residue	E471	1	1	238157
Q#194 - >Q5ZXR7_LEGPH	specific	metal binding site	H33,D35,H67,D172	4	4	238244
Q#194 - >Q5ZXR7_LEGPH	specific	substrate binding site	S8,L10,D35,M69,P142,G143,G145,G146,D172,G174,G194,S195	12	12	238244
Q#194 - >Q5ZXR7_LEGPH	specific	hexamer interface	T15,G18,D38,H40,Y41,P43,L45,T46,F47,G48,P72,L76,H97,D99,R100,P118,S121,D123,W127,N141,I150,E152,K156	23	23	238244
Q#200 - >Q5ZXR1_LEGPH	generic	active site	G34,G35,H37,S63,D215	5	5	132848
Q#200 - >Q5ZXR1_LEGPH	generic	nucleophile elbow	A61,T62,S63,A64,G65	5	5	132848
Q#204 - >Q5ZXQ7_LEGPH	specific	nucleotidyl binding site	F255,D257,M258,R259,G260,F261,T262,K297,M299,G300,D301,L304,T371,V372,I373,A377,N378,A381,K382,G424	20	20	143636
Q#204 - >Q5ZXQ7_LEGPH	specific	metal binding site	D257,D301	2	2	143636
Q#204 - >Q5ZXQ7_LEGPH	specific	dimer interface	T262,I274,L277,A278,Q281,V285,K297,F298,V358,V361,V372,I373,G374,E375,N378,G424	16	16	143636
Q#208 - >Q5ZXQ3_LEGPH	specific	putative ligand binding site	G36,Y39,F77,S94,I96,S97,R102,E144,T147,V148,F149,D187	12	12	270340
Q#209 - >Q5ZXQ2_LEGPH	specific	 metal binding triad	D171,D173,D220	3	3	143391
Q#209 - >Q5ZXQ2_LEGPH	specific	 metal binding triad	D691,D693,D732	3	3	143391
Q#212 - >Q5ZXP9_LEGPH	generic	ATP binding site	G51,S52,K54,T55,T56,Q95,D169,E170,Q202	9	9	213232
Q#212 - >Q5ZXP9_LEGPH	generic	ABC transporter signature motif	L145,S146,G147,G148,W149,K150,Q151,R152,V153,A154	10	10	213232
Q#212 - >Q5ZXP9_LEGPH	generic	Walker A/P-loop	G48,P49,N50,G51,S52,G53,K54,T55	8	8	213232
Q#212 - >Q5ZXP9_LEGPH	generic	Walker B	I165,L166,L167,L168,D169,E170	6	6	213232
Q#212 - >Q5ZXP9_LEGPH	generic	D-loop	S173,G174,I175,D176	4	4	213232
Q#212 - >Q5ZXP9_LEGPH	generic	Q-loop/lid	Y92,M93,P94,Q95	4	4	213232
Q#212 - >Q5ZXP9_LEGPH	generic	H-loop/switch region	L198,L199,S200,T201,Q202,H203,M204	7	7	213232
Q#215 - >RIMO_LEGPH	specific	FeS/SAM binding site	C144,Q146,C148,F150,C151,I152,I186,Q188,D189,H230,Y231,V232,P257,I299,K329,Y330	16	16	100105
Q#216 - >Q5ZXP5_LEGPH	specific	catalytic residues	C510,C513	2	2	239251
Q#216 - >Q5ZXP5_LEGPH	specific	DsbD alpha interface	D508,W509,C510,S512,K514,N518,T519,A558,P559,P560,Q571,N574,L575,V578,G579,E580,T589	17	17	239251
Q#217 - >CH10_LEGPH	specific	oligomerisation interface	K2,R4,L6,R9,M36,R37,A58,G68,T73,V75,M91,G92,V93	13	13	238197
Q#217 - >CH10_LEGPH	specific	roof hairpin	A45,A56	2	2	238197
Q#217 - >CH10_LEGPH	specific	mobile loop	E18,R19,T20,T21,A22,G23,G24,I25,V26,I27,P28,D29,S30,A31	14	14	238197
Q#218 - >CH60_LEGPH	specific	ATP/Mg binding site	M30,G31,P32,D86,T90,I149,D397,G414,I453,I492,D494	11	11	239460
Q#218 - >CH60_LEGPH	specific	hinge regions	S140,E185,M192,G374,E408,G409	6	6	239460
Q#218 - >CH60_LEGPH	specific	ring oligomerisation interface	K3,F7,D24,R35,N36,V37,V38,E40,A45,P46,V48,E58,E60,M68,M72,E75,R196,S228,E256,A383,E385,G458,L512,T515,T516,E517,C518,M519,V520,A521	30	30	239460
Q#218 - >CH60_LEGPH	specific	stacking interactions	A108,D433,R451,E460,S462,V463,N466	7	7	239460
Q#219 - >Q5ZXP2_LEGPH	specific	DPS ferroxidase diiron center	H26,H38,E42,D53,E57	5	5	153102
Q#219 - >Q5ZXP2_LEGPH	specific	ion pore	E119,S126,D127	3	3	153102
Q#219 - >Q5ZXP2_LEGPH	specific	dimerization interface	Y19,L20,N24,H26,W27,H38,A49,D53,A56,E57	10	10	153102
Q#221 - >Q5ZXP0_LEGPH	specific	ATP binding site	Q331,K333	2	2	238419
Q#221 - >Q5ZXP0_LEGPH	specific	dimer interface	E325,F328,A329,Q331,Q376,K377,Q381,V385	8	8	238419
Q#221 - >Q5ZXP0_LEGPH	specific	anchoring element	N268	1	1	238419
Q#221 - >Q5ZXP0_LEGPH	generic	active site	E417,G418,A421,D489,D491,D493	6	6	173786
Q#221 - >Q5ZXP0_LEGPH	generic	metal binding site	E417,D489	2	2	173786
Q#221 - >Q5ZXP0_LEGPH	specific	ATP binding site	E38,N42,D45,V67,D69,G71,G73,M74,G113,V114,G115,V116,V155,K157,G162,T163,I165	17	17	238030
Q#221 - >Q5ZXP0_LEGPH	specific	Mg2+ binding site	N42	1	1	238030
Q#221 - >Q5ZXP0_LEGPH	specific	G-X-G motif	G71,G73,G113,G115	4	4	238030
Q#222 - >Q5ZXN9_LEGPH	specific	ATP binding site	G396,C397,K399,T400,T401,Q444,D523,E524,H557	9	9	213224
Q#222 - >Q5ZXN9_LEGPH	specific	ABC transporter signature motif	F499,S500,G501,G502,Q503,R504,Q505,R506,I507,C508	10	10	213224
Q#222 - >Q5ZXN9_LEGPH	specific	Walker A/P-loop	G393,E394,S395,G396,C397,G398,K399,T400	8	8	213224
Q#222 - >Q5ZXN9_LEGPH	specific	Walker B	I519,L520,I521,C522,D523,E524	6	6	213224
Q#222 - >Q5ZXN9_LEGPH	specific	D-loop	S527,A528,L529,D530	4	4	213224
Q#222 - >Q5ZXN9_LEGPH	specific	Q-loop/lid	I441,I442,F443,Q444	4	4	213224
Q#222 - >Q5ZXN9_LEGPH	specific	H-loop/switch region	L553,F554,I555,T556,H557,N558,M559	7	7	213224
Q#222 - >Q5ZXN9_LEGPH	specific	ATP binding site	G48,C49,K51,S52,L53,Q102,D184,E185,H218	9	9	213224
Q#222 - >Q5ZXN9_LEGPH	specific	ABC transporter signature motif	L160,S161,G162,G163,Q164,K165,Q166,R167,V168,V169	10	10	213224
Q#222 - >Q5ZXN9_LEGPH	specific	Walker A/P-loop	G45,E46,S47,G48,C49,G50,K51,S52	8	8	213224
Q#222 - >Q5ZXN9_LEGPH	specific	Walker B	I180,L181,I182,A183,D184,E185	6	6	213224
Q#222 - >Q5ZXN9_LEGPH	specific	D-loop	T188,A189,L190,D191	4	4	213224
Q#222 - >Q5ZXN9_LEGPH	specific	Q-loop/lid	M99,I100,F101,Q102	4	4	213224
Q#222 - >Q5ZXN9_LEGPH	specific	H-loop/switch region	L214,L215,I216,T217,H218,D219,L220	7	7	213224
