#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-29786B2AF3A3EC6A-F9902B122AF7F8B
#datatype	hitsStandard Results
#status	0
#Start time	2017-01-17T13:11:04	Run time	0:00:04:59
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#34 - >Q5ZY76_LEGPH	superfamily	304358	219	369	3.00647e-66	205.508	cl21454	NADB_Rossmann superfamily	 - 	 - 
Q#34 - >Q5ZY76_LEGPH	specific	280825	78	212	1.78585e-48	159.135	pfam02729	OTCace_N	 - 	cl03681
Q#34 - >Q5ZY76_LEGPH	superfamily	280825	78	212	1.78585e-48	159.135	cl03681	OTCace_N superfamily	 - 	 - 
Q#34 - >Q5ZY76_LEGPH	multi-dom	234835	75	369	7.26942e-139	396	PRK00779	PRK00779	 - 	 - 
Q#34 - >Q5ZY76_LEGPH	multi-dom	223156	75	369	6.3483e-121	350.731	COG0078	ArgF	 - 	 - 
Q#34 - >Q5ZY76_LEGPH	multi-dom	129743	77	369	5.84761e-112	327.772	TIGR00658	orni_carb_tr	 - 	 - 
Q#35 - >Q5ZY75_LEGPH	non-specific	238250	44	441	3.15703e-32	123.997	cd00443	ADA_AMPD	 - 	cl00281
Q#35 - >Q5ZY75_LEGPH	superfamily	294200	44	441	3.15703e-32	123.997	cl00281	metallo-dependent_hydrolases superfamily	 - 	 - 
Q#35 - >Q5ZY75_LEGPH	non-specific	236480	35	453	8.13102e-29	115.274	PRK09358	PRK09358	 - 	cl00281
Q#35 - >Q5ZY75_LEGPH	non-specific	273619	302	439	8.97536e-23	97.4275	TIGR01430	aden_deam	N	cl00281
Q#35 - >Q5ZY75_LEGPH	non-specific	279329	288	439	5.49377e-20	89.3468	pfam00962	A_deaminase	N	cl00281
Q#35 - >Q5ZY75_LEGPH	non-specific	224729	40	441	3.34244e-18	84.288	COG1816	Add	 - 	cl00281
Q#35 - >Q5ZY75_LEGPH	multi-dom	273620	33	439	6.58592e-14	72.1376	TIGR01431	adm_rel	 - 	 - 
Q#36 - >Q5ZY74_LEGPH	non-specific	107332	63	368	6.39649e-115	337.842	cd06337	PBP1_ABC_ligand_binding_like_4	 - 	cl10011
Q#36 - >Q5ZY74_LEGPH	superfamily	299141	63	368	6.39649e-115	337.842	cl10011	Periplasmic_Binding_Protein_Type_1 superfamily	 - 	 - 
Q#36 - >Q5ZY74_LEGPH	specific	223755	61	373	1.29542e-16	79.0201	COG0683	LivK	 - 	cl10011
Q#36 - >Q5ZY74_LEGPH	non-specific	290194	62	345	6.51472e-09	55.7386	pfam13458	Peripla_BP_6	 - 	cl10011
Q#37 - >Q5ZY73_LEGPH	specific	143476	44	376	8.67007e-90	270.437	cd07560	Peptidase_S41_CPP	 - 	cl02526
Q#37 - >Q5ZY73_LEGPH	superfamily	295346	44	376	8.67007e-90	270.437	cl02526	Peptidase_S41 superfamily	 - 	 - 
Q#37 - >Q5ZY73_LEGPH	specific	281558	203	375	8.51063e-69	214.777	pfam03572	Peptidase_S41	 - 	cl02526
Q#37 - >Q5ZY73_LEGPH	specific	214582	178	376	2.80071e-64	204.026	smart00245	TSPc	 - 	cl02526
Q#37 - >Q5ZY73_LEGPH	specific	238488	104	188	6.47102e-24	93.4443	cd00988	PDZ_CTP_protease	 - 	cl00117
Q#37 - >Q5ZY73_LEGPH	superfamily	294084	104	188	6.47102e-24	93.4443	cl00117	PDZ superfamily	 - 	 - 
Q#37 - >Q5ZY73_LEGPH	specific	214570	103	176	1.00507e-09	53.5368	smart00228	PDZ	 - 	cl00117
Q#37 - >Q5ZY73_LEGPH	non-specific	289923	111	182	2.13395e-09	52.2721	pfam13180	PDZ_2	 - 	cl00117
Q#37 - >Q5ZY73_LEGPH	multi-dom	223864	6	415	2.3905e-138	401.325	COG0793	CtpA	 - 	 - 
Q#37 - >Q5ZY73_LEGPH	multi-dom	272970	58	382	3.21725e-122	357.825	TIGR00225	prc	 - 	 - 
Q#37 - >Q5ZY73_LEGPH	multi-dom	177681	63	384	1.37791e-74	237.327	PLN00049	PLN00049	 - 	 - 
Q#38 - >Q5ZY72_LEGPH	specific	279839	291	384	2.16688e-36	126.499	pfam01551	Peptidase_M23	 - 	cl18370
Q#38 - >Q5ZY72_LEGPH	superfamily	279839	291	384	2.16688e-36	126.499	cl18370	Peptidase_M23 superfamily	 - 	 - 
Q#38 - >Q5ZY72_LEGPH	non-specific	284802	51	150	0.00117899	39.4977	pfam07462	MSP1_C	C	cl09438
Q#38 - >Q5ZY72_LEGPH	superfamily	284802	51	150	0.00117899	39.4977	cl09438	MSP1_C superfamily	C	 - 
Q#38 - >Q5ZY72_LEGPH	multi-dom	227278	42	388	3.5238e-68	219.979	COG4942	EnvC	 - 	 - 
Q#38 - >Q5ZY72_LEGPH	multi-dom	236942	33	388	3.48499e-53	181.045	PRK11637	PRK11637	 - 	 - 
Q#38 - >Q5ZY72_LEGPH	multi-dom	274008	45	257	9.83392e-08	52.7515	TIGR02168	SMC_prok_B	NC	 - 
Q#38 - >Q5ZY72_LEGPH	multi-dom	283038	45	126	0.00228336	37.223	pfam05266	DUF724	N	 - 
Q#39 - >GPMI_LEGPH	specific	293734	6	507	0	883.293	cd16010	iPGM	 - 	cl23718
Q#39 - >GPMI_LEGPH	superfamily	304875	6	507	0	883.293	cl23718	ALP_like superfamily	 - 	 - 
Q#39 - >GPMI_LEGPH	specific	283954	83	298	3.43657e-118	345.528	pfam06415	iPGM_N	 - 	cl23718
Q#39 - >GPMI_LEGPH	non-specific	223947	374	509	0.000167254	42.6424	COG1015	DeoB	N	cl23718
Q#39 - >GPMI_LEGPH	non-specific	237085	390	500	0.00026835	41.8775	PRK12383	PRK12383	N	cl23718
Q#39 - >GPMI_LEGPH	multi-dom	235463	1	508	0	907.554	PRK05434	PRK05434	 - 	 - 
Q#39 - >GPMI_LEGPH	multi-dom	223768	4	509	0	741.413	COG0696	GpmI	 - 	 - 
Q#39 - >GPMI_LEGPH	multi-dom	130374	5	507	0	717.237	TIGR01307	pgm_bpd_ind	 - 	 - 
Q#39 - >GPMI_LEGPH	multi-dom	279942	5	497	8.6078e-129	380.296	pfam01676	Metalloenzyme	 - 	 - 
Q#41 - >UPPS_LEGPH	specific	237831	1	238	1.94128e-158	437.964	PRK14836	PRK14836	 - 	cl00230
Q#41 - >UPPS_LEGPH	superfamily	294160	1	238	1.94128e-158	437.964	cl00230	Cis_IPPS superfamily	 - 	 - 
Q#41 - >UPPS_LEGPH	specific	259850	8	226	1.33647e-129	363.616	cd00475	Cis_IPPS	 - 	cl00230
Q#41 - >UPPS_LEGPH	specific	223099	4	233	7.29735e-114	324.626	COG0020	UppS	 - 	cl00230
Q#41 - >UPPS_LEGPH	specific	279580	12	232	7.99954e-104	296.928	pfam01255	Prenyltransf	 - 	cl00230
Q#41 - >UPPS_LEGPH	non-specific	129165	7	232	5.03883e-102	294.311	TIGR00055	uppS	 - 	cl00230
Q#42 - >Q5ZY68_LEGPH	specific	279489	22	279	1.20995e-51	168.933	pfam01148	CTP_transf_1	 - 	cl21502
Q#42 - >Q5ZY68_LEGPH	superfamily	304393	22	279	1.20995e-51	168.933	cl21502	CTP_transf_1 superfamily	 - 	 - 
Q#42 - >Q5ZY68_LEGPH	non-specific	183240	20	273	2.4673e-44	150.564	PRK11624	cdsA	 - 	cl21502
Q#42 - >Q5ZY68_LEGPH	specific	223648	20	275	1.14037e-40	140.529	COG0575	CdsA	 - 	cl21502
Q#43 - >Q5ZY67_LEGPH	specific	100084	41	142	1.34176e-43	150.257	cd06163	S2P-M50_PDZ_RseP-like	C	cl10020
Q#43 - >Q5ZY67_LEGPH	superfamily	299148	41	142	1.34176e-43	150.257	cl10020	S2P-M50 superfamily	C	 - 
Q#43 - >Q5ZY67_LEGPH	non-specific	100084	399	472	7.66066e-27	105.188	cd06163	S2P-M50_PDZ_RseP-like	N	cl10020
Q#43 - >Q5ZY67_LEGPH	superfamily	299148	399	472	7.66066e-27	105.188	cl10020	S2P-M50 superfamily	N	 - 
Q#43 - >Q5ZY67_LEGPH	specific	238489	235	310	6.16959e-25	96.5339	cd00989	PDZ_metalloprotease	 - 	cl00117
Q#43 - >Q5ZY67_LEGPH	superfamily	294084	235	310	6.16959e-25	96.5339	cl00117	PDZ superfamily	 - 	 - 
Q#43 - >Q5ZY67_LEGPH	specific	280347	41	183	4.75651e-23	95.6325	pfam02163	Peptidase_M50	C	cl10020
Q#43 - >Q5ZY67_LEGPH	specific	238489	138	218	2.66759e-13	63.792	cd00989	PDZ_metalloprotease	 - 	cl00117
Q#43 - >Q5ZY67_LEGPH	superfamily	294084	138	218	2.66759e-13	63.792	cl00117	PDZ superfamily	 - 	 - 
Q#43 - >Q5ZY67_LEGPH	specific	289923	247	310	7.09246e-12	59.5909	pfam13180	PDZ_2	 - 	cl00117
Q#43 - >Q5ZY67_LEGPH	specific	214570	246	303	5.888e-10	54.3072	smart00228	PDZ	N	cl00117
Q#43 - >Q5ZY67_LEGPH	non-specific	289923	146	220	6.94344e-07	45.3385	pfam13180	PDZ_2	 - 	cl00117
Q#43 - >Q5ZY67_LEGPH	specific	214570	153	206	2.73289e-06	43.9068	smart00228	PDZ	N	cl00117
Q#43 - >Q5ZY67_LEGPH	non-specific	224905	364	466	5.13554e-05	43.1349	COG1994	SpoIVFB	N	cl10020
Q#43 - >Q5ZY67_LEGPH	multi-dom	182723	41	473	2.31266e-145	422.168	PRK10779	PRK10779	 - 	 - 
Q#43 - >Q5ZY67_LEGPH	multi-dom	272878	41	473	2.50316e-106	321.383	TIGR00054	TIGR00054	 - 	 - 
Q#43 - >Q5ZY67_LEGPH	multi-dom	223821	41	473	9.3951e-70	225.464	COG0750	RseP	 - 	 - 
Q#44 - >Q5ZY66_LEGPH	specific	279448	469	786	1.67684e-62	211.445	pfam01103	Bac_surface_Ag	 - 	cl18362
Q#44 - >Q5ZY66_LEGPH	superfamily	279448	469	786	1.67684e-62	211.445	cl18362	Bac_surface_Ag superfamily	 - 	 - 
Q#44 - >Q5ZY66_LEGPH	specific	284624	198	285	8.50712e-13	63.1266	pfam07244	POTRA	 - 	cl21628
Q#44 - >Q5ZY66_LEGPH	superfamily	304474	198	285	8.50712e-13	63.1266	cl21628	POTRA superfamily	 - 	 - 
Q#44 - >Q5ZY66_LEGPH	specific	284624	114	194	2.66485e-12	61.5858	pfam07244	POTRA	 - 	cl21628
Q#44 - >Q5ZY66_LEGPH	superfamily	304474	114	194	2.66485e-12	61.5858	cl21628	POTRA superfamily	 - 	 - 
Q#44 - >Q5ZY66_LEGPH	specific	284624	288	366	2.96688e-12	61.5858	pfam07244	POTRA	 - 	cl21628
Q#44 - >Q5ZY66_LEGPH	superfamily	304474	288	366	2.96688e-12	61.5858	cl21628	POTRA superfamily	 - 	 - 
Q#44 - >Q5ZY66_LEGPH	specific	284624	369	442	2.11568e-10	56.193	pfam07244	POTRA	 - 	cl21628
Q#44 - >Q5ZY66_LEGPH	superfamily	304474	369	442	2.11568e-10	56.193	cl21628	POTRA superfamily	 - 	 - 
Q#44 - >Q5ZY66_LEGPH	non-specific	285652	48	113	0.000401986	37.9111	pfam08478	POTRA_1	 - 	cl21628
Q#44 - >Q5ZY66_LEGPH	superfamily	304474	48	113	0.000401986	37.9111	cl21628	POTRA superfamily	 - 	 - 
Q#44 - >Q5ZY66_LEGPH	multi-dom	274514	46	786	0	878.837	TIGR03303	OM_YaeT	 - 	 - 
Q#44 - >Q5ZY66_LEGPH	multi-dom	227116	31	786	0	593.946	COG4775	BamA	 - 	 - 
Q#44 - >Q5ZY66_LEGPH	multi-dom	236834	17	780	0	544.262	PRK11067	PRK11067	 - 	 - 
Q#44 - >Q5ZY66_LEGPH	multi-dom	284347	118	163	0.00741344	37.8893	pfam06898	YqfD	NC	 - 
Q#45 - >Q5ZY65_LEGPH	non-specific	182724	26	165	1.66689e-21	84.1359	PRK10780	PRK10780	 - 	cl24098
Q#45 - >Q5ZY65_LEGPH	superfamily	182724	26	165	1.66689e-21	84.1359	cl24098	PRK10780 superfamily	 - 	 - 
Q#45 - >Q5ZY65_LEGPH	multi-dom	214922	27	166	2.30918e-37	123.848	smart00935	OmpH	 - 	 - 
Q#45 - >Q5ZY65_LEGPH	multi-dom	281871	9	165	3.78031e-32	111.114	pfam03938	OmpH	 - 	 - 
Q#45 - >Q5ZY65_LEGPH	multi-dom	225381	1	166	1.21359e-20	82.0569	COG2825	HlpA	 - 	 - 
Q#45 - >Q5ZY65_LEGPH	multi-dom	237177	33	145	0.000156313	39.3762	PRK12704	PRK12704	C	 - 
Q#45 - >Q5ZY65_LEGPH	multi-dom	188306	33	122	0.000208933	39.1386	TIGR03319	RNase_Y	C	 - 
Q#46 - >Q5ZY64_LEGPH	specific	100043	107	312	1.50614e-65	204.564	cd03352	LbH_LpxD	 - 	cl00160
Q#46 - >Q5ZY64_LEGPH	superfamily	294107	107	312	1.50614e-65	204.564	cl00160	LbetaH superfamily	 - 	 - 
Q#46 - >Q5ZY64_LEGPH	specific	282469	23	87	1.74238e-12	60.5461	pfam04613	LpxD	 - 	cl08420
Q#46 - >Q5ZY64_LEGPH	superfamily	282469	23	87	1.74238e-12	60.5461	cl08420	LpxD superfamily	 - 	 - 
Q#46 - >Q5ZY64_LEGPH	specific	278558	107	136	0.00331968	33.4652	pfam00132	Hexapep	 - 	cl00160
Q#46 - >Q5ZY64_LEGPH	multi-dom	234858	1	338	8.66054e-93	278.946	PRK00892	lpxD	 - 	 - 
Q#46 - >Q5ZY64_LEGPH	multi-dom	223974	2	335	5.10593e-71	222.944	COG1044	LpxD	 - 	 - 
Q#46 - >Q5ZY64_LEGPH	multi-dom	273834	6	323	1.12771e-70	221.781	TIGR01853	lipid_A_lpxD	 - 	 - 
Q#48 - >FABZ_LEGPH	specific	234568	1	148	3.00252e-83	239.632	PRK00006	fabZ	 - 	cl00509
Q#48 - >FABZ_LEGPH	superfamily	294345	1	148	3.00252e-83	239.632	cl00509	hot_dog superfamily	 - 	 - 
Q#48 - >FABZ_LEGPH	specific	238615	14	142	2.46491e-71	208.937	cd01288	FabZ	 - 	cl00509
Q#48 - >FABZ_LEGPH	non-specific	130811	6	144	3.68289e-63	188.679	TIGR01750	fabZ	 - 	cl00509
Q#48 - >FABZ_LEGPH	specific	223835	2	147	8.01505e-56	170.512	COG0764	FabA	 - 	cl00509
Q#48 - >FABZ_LEGPH	specific	285251	14	139	1.0335e-36	121.586	pfam07977	FabA	 - 	cl00509
Q#48 - >FABZ_LEGPH	multi-dom	237296	6	150	1.1894e-55	179.359	PRK13188	PRK13188	N	 - 
Q#49 - >Q5ZY61_LEGPH	specific	100042	1	254	4.34632e-147	409.9	cd03351	LbH_UDP-GlcNAc_AT	 - 	cl00160
Q#49 - >Q5ZY61_LEGPH	superfamily	294107	1	254	4.34632e-147	409.9	cl00160	LbetaH superfamily	 - 	 - 
Q#49 - >Q5ZY61_LEGPH	specific	290439	174	255	5.88266e-33	113.681	pfam13720	Acetyltransf_11	 - 	cl15870
Q#49 - >Q5ZY61_LEGPH	superfamily	290439	174	255	5.88266e-33	113.681	cl15870	Acetyltransf_11 superfamily	 - 	 - 
Q#49 - >Q5ZY61_LEGPH	multi-dom	183539	1	256	3.72193e-153	425.205	PRK12461	PRK12461	 - 	 - 
Q#49 - >Q5ZY61_LEGPH	multi-dom	223973	2	256	1.40573e-123	350.758	COG1043	LpxA	 - 	 - 
Q#49 - >Q5ZY61_LEGPH	multi-dom	188173	6	255	3.07804e-115	329.221	TIGR01852	lipid_A_lpxA	 - 	 - 
Q#50 - >CRCB_LEGPH	specific	172705	1	134	1.05637e-65	194.452	PRK14217	PRK14217	 - 	cl09114
Q#50 - >CRCB_LEGPH	superfamily	298835	1	134	1.05637e-65	194.452	cl09114	CRCB superfamily	 - 	 - 
Q#50 - >CRCB_LEGPH	specific	223317	6	127	8.27261e-30	103.031	COG0239	CrcB	 - 	cl09114
Q#50 - >CRCB_LEGPH	specific	280668	8	118	1.21997e-26	94.415	pfam02537	CRCB	 - 	cl09114
Q#50 - >CRCB_LEGPH	non-specific	129585	7	123	2.15088e-17	71.2638	TIGR00494	crcB	 - 	cl09114
Q#51 - >SYS_LEGPH	specific	238393	119	417	1.12128e-178	499.008	cd00770	SerRS_core	 - 	cl00268
Q#51 - >SYS_LEGPH	superfamily	294192	119	417	1.12128e-178	499.008	cl00268	class_II_aaRS-like_core superfamily	 - 	 - 
Q#51 - >SYS_LEGPH	specific	278984	218	400	4.67991e-44	150.64	pfam00587	tRNA-synt_2b	 - 	cl00268
Q#51 - >SYS_LEGPH	specific	280549	2	107	6.71564e-27	102.281	pfam02403	Seryl_tRNA_N	 - 	cl12057
Q#51 - >SYS_LEGPH	superfamily	299883	2	107	6.71564e-27	102.281	cl12057	Seryl_tRNA_N superfamily	 - 	 - 
Q#51 - >SYS_LEGPH	multi-dom	235461	1	426	0	769.619	PRK05431	PRK05431	 - 	 - 
Q#51 - >SYS_LEGPH	multi-dom	223250	1	426	0	630.4	COG0172	SerS	 - 	 - 
Q#51 - >SYS_LEGPH	multi-dom	273066	1	417	0	578.548	TIGR00414	serS	 - 	 - 
Q#52 - >Q5ZY58_LEGPH	specific	282132	205	369	7.48256e-65	202.338	pfam04229	GrpB	 - 	cl00987
Q#52 - >Q5ZY58_LEGPH	superfamily	294634	205	369	7.48256e-65	202.338	cl00987	GrpB superfamily	 - 	 - 
Q#52 - >Q5ZY58_LEGPH	non-specific	225202	199	371	1.76333e-36	129.511	COG2320	GrpB	 - 	cl00987
Q#52 - >Q5ZY58_LEGPH	non-specific	182749	70	194	1.14214e-17	79.0123	PRK10809	PRK10809	N	cl17182
Q#52 - >Q5ZY58_LEGPH	superfamily	302625	70	194	1.14214e-17	79.0123	cl17182	NAT_SF superfamily	N	 - 
Q#52 - >Q5ZY58_LEGPH	specific	278980	87	164	2.87756e-09	51.9101	pfam00583	Acetyltransf_1	 - 	cl17182
Q#52 - >Q5ZY58_LEGPH	multi-dom	179560	207	366	6.65318e-21	91.6059	PRK03333	coaE	N	 - 
Q#52 - >Q5ZY58_LEGPH	multi-dom	224584	29	192	2.76905e-19	83.459	COG1670	RimL	 - 	 - 
Q#52 - >Q5ZY58_LEGPH	multi-dom	290041	30	164	3.10858e-17	76.2231	pfam13302	Acetyltransf_3	 - 	 - 
Q#52 - >Q5ZY58_LEGPH	multi-dom	274661	62	193	0.000316828	39.2643	TIGR03585	PseH	N	 - 
Q#53 - >Q5ZY57_LEGPH	non-specific	283399	156	282	1.0812e-19	84.026	pfam05721	PhyH	N	cl21496
Q#53 - >Q5ZY57_LEGPH	superfamily	304390	156	282	1.0812e-19	84.026	cl21496	2OG-FeII_Oxy superfamily	N	 - 
Q#53 - >Q5ZY57_LEGPH	non-specific	227609	156	307	7.82344e-12	63.2699	COG5285	PhyH	N	cl21496
Q#53 - >Q5ZY57_LEGPH	non-specific	130823	137	299	1.47298e-08	53.3644	TIGR01762	chlorin-enz	 - 	cl21496
Q#54 - >Q5ZY56_LEGPH	specific	285454	46	139	3.74916e-08	48.9117	pfam08242	Methyltransf_12	 - 	cl17173
Q#54 - >Q5ZY56_LEGPH	superfamily	302624	46	139	3.74916e-08	48.9117	cl17173	AdoMet_MTases superfamily	 - 	 - 
Q#54 - >Q5ZY56_LEGPH	multi-dom	273910	32	183	0.00111378	38.0446	TIGR01983	UbiG	 - 	 - 
Q#55 - >Q5ZY55_LEGPH	specific	223729	3	273	8.95729e-56	179.758	COG0656	ARA1	 - 	cl00470
Q#55 - >Q5ZY55_LEGPH	superfamily	294321	3	273	8.95729e-56	179.758	cl00470	Aldo_ket_red superfamily	 - 	 - 
Q#55 - >Q5ZY55_LEGPH	specific	119408	6	272	1.96023e-52	171.203	cd06660	Aldo_ket_red	 - 	cl00470
Q#55 - >Q5ZY55_LEGPH	non-specific	278668	3	273	5.14858e-31	115.488	pfam00248	Aldo_ket_red	 - 	cl00470
Q#55 - >Q5ZY55_LEGPH	non-specific	183203	26	269	2.10356e-23	94.7542	PRK11565	dkgA	 - 	cl00470
Q#55 - >Q5ZY55_LEGPH	multi-dom	223739	15	273	3.73964e-21	89.6942	COG0667	Tas	 - 	 - 
Q#58 - >Q5ZY52_LEGPH	specific	289607	53	148	1.40443e-13	63.8913	pfam12847	Methyltransf_18	 - 	cl17173
Q#58 - >Q5ZY52_LEGPH	superfamily	302624	53	148	1.40443e-13	63.8913	cl17173	AdoMet_MTases superfamily	 - 	 - 
Q#58 - >Q5ZY52_LEGPH	specific	100107	48	148	6.43557e-06	42.8023	cd02440	AdoMet_MTases	 - 	cl17173
Q#58 - >Q5ZY52_LEGPH	multi-dom	223574	4	147	0.000421743	39.4973	COG0500	SmtA	C	 - 
Q#59 - >Q5ZY51_LEGPH	non-specific	181310	1	202	7.14842e-81	237.334	PRK08233	PRK08233	 - 	cl17190
Q#59 - >Q5ZY51_LEGPH	superfamily	302627	1	202	7.14842e-81	237.334	cl17190	NK superfamily	 - 	 - 
Q#59 - >Q5ZY51_LEGPH	specific	289979	6	146	4.96008e-12	59.3897	pfam13238	AAA_18	 - 	cl21455
Q#59 - >Q5ZY51_LEGPH	superfamily	304359	6	146	4.96008e-12	59.3897	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#59 - >Q5ZY51_LEGPH	non-specific	272977	3	187	1.77494e-08	51.2348	TIGR00235	udk	 - 	cl17190
Q#59 - >Q5ZY51_LEGPH	non-specific	238981	5	187	1.13477e-07	48.7049	cd02023	UMPK	 - 	cl17190
Q#59 - >Q5ZY51_LEGPH	non-specific	224617	2	27	0.000282933	39.231	COG1703	ArgK	C	cl21455
Q#59 - >Q5ZY51_LEGPH	multi-dom	223645	5	187	6.48112e-13	63.455	COG0572	Udk	 - 	 - 
Q#59 - >Q5ZY51_LEGPH	multi-dom	237422	5	72	0.00478596	35.5175	PRK13548	hmuV	C	 - 
Q#60 - >Q5ZY50_LEGPH	specific	173926	55	119	4.92145e-15	64.2192	cd04301	NAT_SF	 - 	cl17182
Q#60 - >Q5ZY50_LEGPH	superfamily	302625	55	119	4.92145e-15	64.2192	cl17182	NAT_SF superfamily	 - 	 - 
Q#60 - >Q5ZY50_LEGPH	specific	278980	59	135	4.6158e-14	61.9253	pfam00583	Acetyltransf_1	 - 	cl17182
Q#60 - >Q5ZY50_LEGPH	non-specific	236088	55	143	2.04748e-09	51.7336	PRK07757	PRK07757	N	cl17182
Q#60 - >Q5ZY50_LEGPH	non-specific	225695	37	145	1.08044e-08	49.9759	COG3153	yhbS	C	cl17182
Q#60 - >Q5ZY50_LEGPH	multi-dom	290398	14	135	2.22494e-08	48.1216	pfam13673	Acetyltransf_10	 - 	 - 
Q#60 - >Q5ZY50_LEGPH	multi-dom	235142	55	142	5.20241e-07	44.9195	PRK03624	PRK03624	N	 - 
Q#60 - >Q5ZY50_LEGPH	multi-dom	223532	57	134	2.89986e-05	40.7503	COG0456	RimI	N	 - 
Q#60 - >Q5ZY50_LEGPH	multi-dom	273701	85	119	3.37487e-05	40.0047	TIGR01575	rimI	NC	 - 
Q#61 - >Q5ZY49_LEGPH	specific	278980	86	158	0.00154341	34.5761	pfam00583	Acetyltransf_1	 - 	cl17182
Q#61 - >Q5ZY49_LEGPH	superfamily	302625	86	158	0.00154341	34.5761	cl17182	NAT_SF superfamily	 - 	 - 
Q#61 - >Q5ZY49_LEGPH	multi-dom	290257	10	163	1.24793e-13	63.8541	pfam13523	Acetyltransf_8	 - 	 - 
Q#61 - >Q5ZY49_LEGPH	multi-dom	275224	15	158	8.41317e-05	40.2525	TIGR04431	N6_acetyl_AAC6	 - 	 - 
Q#63 - >Q5ZY47_LEGPH	non-specific	283845	27	116	6.77119e-07	44.2499	pfam06271	RDD	C	cl00746
Q#63 - >Q5ZY47_LEGPH	superfamily	294483	27	116	6.77119e-07	44.2499	cl00746	RDD superfamily	C	 - 
Q#64 - >Q5ZY46_LEGPH	multi-dom	225968	4	381	3.84065e-50	172.208	COG3434	YuxH	 - 	 - 
Q#64 - >Q5ZY46_LEGPH	multi-dom	285831	188	318	1.07829e-19	84.9554	pfam08668	HDOD	C	 - 
Q#65 - >Q5ZY45_LEGPH	specific	274370	9	128	5.50127e-39	126.144	TIGR02970	succ_dehyd_cytB	 - 	cl00881
Q#65 - >Q5ZY45_LEGPH	superfamily	294573	9	128	5.50127e-39	126.144	cl00881	SQR_QFR_TM superfamily	 - 	 - 
Q#65 - >Q5ZY45_LEGPH	specific	239579	11	127	1.23522e-34	114.939	cd03499	SQR_TypeC_SdhC	 - 	cl00881
Q#65 - >Q5ZY45_LEGPH	non-specific	181900	7	130	1.64052e-33	112.543	PRK09487	sdhC	 - 	cl00881
Q#65 - >Q5ZY45_LEGPH	specific	279471	8	125	3.57077e-25	90.8907	pfam01127	Sdh_cyt	 - 	cl00881
Q#65 - >Q5ZY45_LEGPH	specific	224920	9	130	1.87605e-13	61.2002	COG2009	SdhC	 - 	cl00881
Q#66 - >Q5ZY44_LEGPH	specific	239574	15	113	4.24614e-30	102.299	cd03494	SQR_TypeC_SdhD	 - 	cl00881
Q#66 - >Q5ZY44_LEGPH	superfamily	294573	15	113	4.24614e-30	102.299	cl00881	SQR_QFR_TM superfamily	 - 	 - 
Q#66 - >Q5ZY44_LEGPH	specific	274369	10	113	2.64543e-27	95.3259	TIGR02968	succ_dehyd_anc	 - 	cl00881
Q#66 - >Q5ZY44_LEGPH	non-specific	181901	1	114	8.8464e-18	71.3067	PRK09488	sdhD	 - 	cl00881
Q#66 - >Q5ZY44_LEGPH	specific	225053	1	114	1.67562e-15	65.7351	COG2142	SdhD	 - 	cl00881
Q#67 - >Q5ZY43_LEGPH	non-specific	180442	28	418	1.32351e-75	245.75	PRK06175	PRK06175	 - 	cl21454
Q#67 - >Q5ZY43_LEGPH	superfamily	304358	28	418	1.32351e-75	245.75	cl21454	NADB_Rossmann superfamily	 - 	 - 
Q#67 - >Q5ZY43_LEGPH	specific	280980	462	589	9.64192e-62	198.784	pfam02910	Succ_DH_flav_C	 - 	cl08378
Q#67 - >Q5ZY43_LEGPH	superfamily	280980	462	589	9.64192e-62	198.784	cl08378	Succ_DH_flav_C superfamily	 - 	 - 
Q#67 - >Q5ZY43_LEGPH	multi-dom	181594	1	589	0	1025.05	PRK08958	sdhA	 - 	 - 
Q#67 - >Q5ZY43_LEGPH	multi-dom	130875	26	589	0	882.563	TIGR01816	sdhA_forward	 - 	 - 
Q#67 - >Q5ZY43_LEGPH	multi-dom	223981	24	574	0	682.555	COG1053	SdhA	 - 	 - 
Q#67 - >Q5ZY43_LEGPH	multi-dom	279262	30	404	7.46365e-119	356.593	pfam00890	FAD_binding_2	 - 	 - 
Q#68 - >Q5ZY42_LEGPH	specific	289830	9	115	1.69768e-49	156.59	pfam13085	Fer2_3	 - 	cl00159
Q#68 - >Q5ZY42_LEGPH	superfamily	294106	9	115	1.69768e-49	156.59	cl00159	fer2 superfamily	 - 	 - 
Q#68 - >Q5ZY42_LEGPH	specific	289926	149	222	6.59026e-08	46.9184	pfam13183	Fer4_8	 - 	cl19102
Q#68 - >Q5ZY42_LEGPH	superfamily	302761	149	222	6.59026e-08	46.9184	cl19102	Fer4_8 superfamily	 - 	 - 
Q#68 - >Q5ZY42_LEGPH	multi-dom	235652	9	240	3.42746e-167	459.259	PRK05950	sdhB	 - 	 - 
Q#68 - >Q5ZY42_LEGPH	multi-dom	223555	5	239	2.55075e-116	330.788	COG0479	FrdB	 - 	 - 
Q#68 - >Q5ZY42_LEGPH	multi-dom	273049	11	232	2.94076e-111	317.45	TIGR00384	dhsB	 - 	 - 
